A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
50,0.455312607,-2.382895446,-0.83742965,-2.36617514,-0.276460122,0.852335249,-0.031126053,good
51,0.380306875,0.108876671,0.838371949,0.718480356,1.400364119,-2.327666271,2.411086303,good
52,-1.233413202,0.64103924,0.936459069,-0.551161348,-1.82710165,2.047326882,-0.171433286,good
53,-0.819889002,-2.35346329,2.606042575,0.15499087,1.299494552,1.211605631,-2.830885051,good
54,-1.75629689,-0.361276245,-2.27820786,1.54495345,-0.076513789,2.609788459,0.024892579,bad
55,-0.334260756,-1.929154643,-0.178136971,2.255101762,5.316070887,-4.105873998,1.341249631,good
56,1.806404783,-2.355395033,-0.2061129,-1.210372234,2.765678772,-0.392659285,3.104922831,good
57,-0.473287594,-0.555145848,0.559615651,-0.424501717,-0.250158445,1.851902646,-4.809283356,good
58,-1.711440159,0.620783857,-0.733591501,-0.351416416,-1.095210862,1.754156022,0.859773406,bad
59,-1.688580989,-1.766127996,-2.873939166,0.605564447,-1.116731368,0.252804418,-5.103210963,bad
60,-0.083517126,-3.397728471,-0.00728063,0.825889683,2.126599495,-2.321048257,-0.993894782,good
61,-0.658539572,0.350745027,-1.334219305,1.684114569,0.939984568,1.176682366,0.942478981,bad
62,-1.286279883,1.105420521,-3.156926835,1.973857598,0.223007322,1.442712771,0.814293361,bad
63,1.555363163,0.845308383,-1.267962187,-0.32100313,1.651267005,-2.94414719,-0.595644653,bad
64,-3.010134336,1.548268357,-0.568293032,0.209247169,2.317043914,-1.242233911,-2.727464441,good
65,-2.190462209,1.900422732,0.260775226,2.595715918,-2.933883057,-3.218398786,-1.400045838,good
66,-0.500907293,-1.515588341,0.518894693,-0.747127786,2.03251822,-2.220710772,0.52763269,good
67,0.127173049,-1.222183036,-2.696056931,1.100273548,0.749773759,1.628203478,0.676821939,bad
68,-0.542642475,1.188660038,-2.618001759,0.48740168,-0.900953302,0.747661723,0.282464485,bad
69,-1.378301277,-3.005818132,3.538818825,1.093620599,2.480568215,0.678380249,-1.244207232,good
70,1.816524823,-1.237189038,-0.796433542,1.847593269,-4.904896158,-0.573422548,1.024242635,bad
71,-0.657195773,-2.271626609,1.324873847,-0.097874716,3.637970491,-3.413761338,0.790723217,good
72,-0.374739412,-1.869798513,-1.943525306,-2.128921578,2.625058465,-0.340250337,-1.03820733,good
73,1.153913151,-4.317743611,1.435670599,2.273066016,0.822960315,2.9977219,1.95327206,good
74,0.272788302,-1.538869707,-2.661360717,4.816726008,-0.491633217,-1.692431107,-0.53944205,good
75,3.098029339,-1.732347048,-1.507209401,-0.21694332,4.039246137,-0.301569514,0.617345483,good
76,-2.100543918,0.823428743,-1.150201713,1.651760867,0.601369692,0.744765645,-0.158018044,good
77,-2.944317486,-0.902396687,3.125213912,1.237944585,2.59796687,-1.083695328,-1.870967196,good
78,-0.906896331,-0.047773852,0.269011332,1.707326055,0.09500717,0.528756689,0.24132956,good
79,0.499919652,-0.642336781,-0.8863567,-0.710935404,-0.794483055,0.073186825,-0.021881716,good
80,0.599557515,-2.156929712,-0.504306744,2.228544675,-1.122550916,-0.460466896,-1.604760616,bad
81,-2.596229438,0.62915345,2.885897542,1.54810316,-1.400055584,-2.251373139,1.496261501,bad
82,-0.279036417,-2.126959187,0.441181072,0.390840116,-1.625930602,-0.561359392,-2.628356827,bad
83,-0.877526715,-0.403724649,0.783132125,0.903129897,-0.130447559,0.359689875,0.483467424,bad
84,-0.484201507,-0.166192913,-1.504511258,-1.080336236,-0.293462308,0.143921659,1.136970464,good
85,-0.611750562,-0.783005666,-0.252097551,1.751904979,0.172057539,-0.972645671,2.887083647,bad
86,3.504740977,-5.478682219,-1.548665919,-0.720533669,1.908383228,1.91057271,2.445013853,good
87,-0.353194548,-2.949073284,2.293178644,3.880526412,3.054124893,0.709941597,2.608796602,good
88,-3.287873452,-1.738597669,-1.415938417,-0.190586348,-1.13439887,2.389890428,-3.201157829,bad
89,-1.222419169,-1.389613283,-1.322684748,1.737928792,-2.17578276,-0.06418278,-1.826704357,bad
90,1.162866125,-3.812648457,-1.301556821,0.788874669,3.440146035,-0.93639007,2.196099992,good
91,-0.939374182,0.360852891,-0.892405419,-0.282832832,0.700530373,0.787688514,-3.496028713,good
92,-3.245998613,2.514563491,0.259883416,-1.334722577,1.824930891,-1.338919921,-3.202740023,good
93,-1.111047637,-0.951366149,-1.147093478,0.241393722,-0.755812722,0.286725408,-2.720479949,bad
94,-0.585505154,-0.82153333,-0.90870239,1.222367188,0.64208128,-0.173078991,2.233682316,bad
95,1.330044421,-0.790754642,-1.283551417,3.536156118,-5.814307615,-2.079250298,1.387407917,bad
96,-0.514507334,0.33049363,-1.419018697,1.166646928,0.231519441,2.111651131,1.03812053,good
97,-1.365380911,0.331631355,-0.483122536,-0.518861678,0.446691901,2.299271503,0.612547794,bad
98,0.617402041,-2.574566748,-0.564992188,2.738690879,2.320601176,-1.706674583,4.687954168,good
99,-0.736511346,-1.46560181,0.210433706,-0.156904598,0.514415818,-1.754274319,0.638418811,good
100,-1.344076104,-2.598472175,3.039253076,0.477874088,0.301253737,1.253182274,0.019317439,good
101,0.019720454,-0.591226131,-1.739235973,0.001208279,0.695052559,-0.018453271,1.307264909,bad
102,-0.896410734,0.069006498,-0.446789053,0.048893091,0.949138848,1.460102011,-2.349972115,good
103,0.786645245,-1.188885508,-0.703423294,2.02625747,-0.164522692,2.108956451,-0.728190556,good
104,-1.540001237,-0.316826247,1.122198693,1.852148673,2.343956996,-0.032854209,0.351966322,good
105,0.01556201,0.321166939,-0.737219189,2.016975004,1.356614322,-0.434289762,1.798605677,bad
106,2.186548032,-1.287817093,-1.429862242,2.634869991,-4.210847414,-2.801756926,-1.218056239,bad
107,2.018030556,0.3970603,-2.599518994,0.869264332,0.053678583,0.243393778,-0.19350131,bad
108,-2.859172833,0.126924531,2.575793523,1.555869911,0.820581706,0.076740622,0.159723075,good
109,0.512556665,0.224109975,0.337204189,1.799258208,-0.313148221,-2.156019019,0.667613531,good
110,-1.04780754,0.12558506,-1.04180936,-0.36367479,-0.030234754,-0.972013257,0.260141062,good
111,0.144373555,-1.132383527,-1.56068607,0.501401077,2.256801685,0.900387,1.221682298,bad
112,-0.588356374,-0.727960073,0.498920559,-0.080377738,1.597743232,0.000313575,-1.716680472,bad
113,-0.03651479,-0.979888239,-0.98586817,-0.241794309,4.411388366,-1.870524731,1.970783741,good
114,3.801708216,-1.622880326,-1.692848533,-1.490343734,3.345865697,1.232736296,2.523712283,good
115,2.212056888,-0.447372479,-4.119355624,1.00186291,-1.268154205,1.950030246,-1.44427643,good
116,1.457048713,-1.585373395,0.522146559,0.511241041,-1.557878105,-1.882950271,-2.429393469,bad
117,-0.956779845,-0.901276668,-0.3840888,-0.404412449,0.989058197,-2.19470812,2.709944697,bad
118,1.133205846,0.851565945,-0.442646178,2.657961873,-1.926499922,-1.578243843,2.430187757,bad
119,-2.323340528,-2.585398763,1.307611767,1.118135737,1.429309401,-0.19873985,-3.861990488,bad
120,-2.983325412,0.573440898,0.082280487,0.533181203,2.134812422,-0.656205892,-2.92865794,good
121,1.418063913,-0.159779787,0.137654618,0.626105755,-1.481343665,-1.945741032,-0.689292785,bad
122,-2.156863512,-1.655429484,0.680629957,1.499034768,0.346764852,0.507208319,1.584665032,bad
123,-3.328450263,-0.307328307,-1.951539178,0.58811625,-1.878286797,3.213166051,0.258639507,bad
124,-2.923748946,-0.550624456,-0.9591036,-0.109378881,1.146813049,2.389869131,-1.733447098,bad
125,-2.565115444,0.681125179,-1.382973169,1.984381104,0.581844095,0.518650946,0.358466427,good
126,0.556039413,1.536527667,-0.3439073,2.153443235,0.061362275,-2.110811694,1.622376046,good
127,1.831005266,0.843340952,-2.527456317,-1.542694872,1.660835593,1.471092989,2.90534156,good
128,-2.588233615,0.934418582,-2.318100746,-1.908756552,0.648554435,4.485687247,0.194094541,bad
129,-3.191808027,-2.068065559,2.342806455,1.08830402,1.859325063,0.777898305,1.265621547,good
130,-1.994174886,0.288780681,1.145541008,1.17567174,2.813397603,-1.167706275,-3.436671787,good
131,0.170866787,1.587034344,1.347942903,-1.124513763,1.008527592,-1.916662617,2.598926778,good
132,-1.670067081,1.876464913,-0.217710527,1.954178589,-1.336272724,-2.644002999,1.389061921,good
133,-2.069803047,-2.174906078,-1.271278847,1.575417631,-0.66219489,4.134098994,-1.658382639,bad
134,1.139748835,0.166730617,-2.011508254,2.452914,-2.625881517,-0.249664187,-1.93413049,bad
135,2.316934752,-1.765646756,-3.142249372,-0.896767346,1.303792751,1.672411791,-0.964795146,good
136,0.683613642,-0.625453069,1.284086802,0.770128623,2.527533775,-2.814109779,2.954526914,good
137,0.778135183,-1.626063677,-1.792549921,0.051938177,2.795812529,1.090529208,0.089953059,bad
138,-0.932976321,0.218100674,2.337452345,1.027432189,-0.372684741,0.108566831,2.504311868,bad
139,-2.065320261,-3.222701167,5.54296888,1.82945098,1.571516982,-0.145645501,-0.135212578,good
140,-3.193771996,2.130105726,-0.247501191,-2.620954157,4.226314433,4.59034704,1.529106684,bad
141,-0.75474296,0.302332227,2.660387168,-1.826048667,-1.404699698,1.392077747,-2.045652882,good
142,0.14167752,2.182866219,-2.484626713,0.348822375,-1.976806635,-0.554953287,1.399388786,bad
143,3.656656247,-1.500679609,-2.375430743,0.704744686,4.120672127,0.775149346,4.312841326,good
144,-1.107737674,-0.913662167,-0.427578595,0.031824705,-0.867915417,1.521657008,-0.754772933,bad
145,-0.809220685,-1.723186461,-0.797727565,1.270493718,-0.506610805,1.296464979,0.00487338,bad
146,-0.790198577,-1.33600731,1.68211791,0.450123165,-1.445588512,1.603864129,-1.385460542,good
147,2.075256662,-3.401850097,0.605650469,1.938238152,-3.454098722,0.419333481,-0.598258687,bad
148,-2.268585842,-1.789799965,1.445566185,1.056595714,-2.46535745,0.691889291,-0.382318078,bad
149,1.5353851,-0.979618891,-1.385863074,0.482993175,1.999626268,-0.394965283,3.405436263,good
150,2.022035202,-0.208609112,0.211278248,0.889638888,-2.380330963,0.392699152,2.565322523,bad
151,-0.615630396,-1.958213438,0.776336804,0.580399266,-1.557716279,1.666101105,-0.043227512,bad
152,-2.680440382,-1.602862269,3.767627827,2.126078446,1.824476372,-0.49585143,1.132168505,good
153,-1.071852907,-1.496799183,-0.303022922,1.425077791,2.18307578,1.532804006,1.433817427,good
154,0.591295335,0.616590264,-0.525947541,6.110621104,-1.03679872,-3.44005964,1.899782249,good
155,-1.758670356,-2.463133337,-1.973352164,1.392158608,0.450533769,3.56626377,1.561226504,bad
156,0.783392908,-0.782197492,-0.177542644,1.217637139,-1.441139571,-0.454873235,-2.148650397,bad
157,3.75466964,-4.385206001,-3.032131862,1.194918006,-0.390094164,2.075760147,-0.475460518,good
158,0.912526447,-1.044129222,0.377959505,1.468373746,1.118668245,-1.911219506,2.589818171,good
159,-1.627523636,-2.106550746,1.407584574,0.674387296,1.121791767,0.096691188,-2.915046676,bad
160,-0.473886225,-2.911505607,-3.079664907,0.521186447,0.222791394,4.64584638,-0.1640507,bad
161,-7.151703059,-1.370716878,1.673137533,2.702934163,-0.136146011,4.127709048,3.554015134,bad
162,2.563247684,-2.872912902,-0.530600222,2.26187328,-1.386298333,4.826221058,1.08475409,good
163,0.024053366,-3.905009576,-1.840887628,-0.236018132,3.199446969,-0.967985231,-0.815654524,good
164,1.685933654,-4.275657713,-1.59989827,0.998565566,0.641066263,4.526599783,-1.926771608,bad
165,1.533989948,-3.797470264,-0.638919511,1.761017756,-2.654441681,0.764131352,-2.403407092,bad
166,1.592092301,-2.88341063,-2.52525023,0.514185167,-2.246265342,1.474421464,-3.295579966,bad
167,-1.594125392,-0.74166841,-2.062309758,0.930106043,0.860364897,2.285538692,0.232869083,bad
168,2.032797084,-0.641021365,-2.409689916,2.936128289,1.675484552,-0.904588536,2.287350346,good
169,-3.640829808,-2.977709023,-1.584836122,0.00103527,4.370638019,5.537761381,1.278969028,bad
170,-2.863613161,-3.169046126,1.306072766,-0.666747449,-1.499914063,0.992840657,-4.423516212,bad
171,0.886518631,-1.382907628,-0.347120879,1.943797129,3.759754578,-2.933136212,1.384627576,good
172,1.68387841,-2.242187311,2.246057204,1.356224587,-1.252226707,-1.720518508,-0.961003564,bad
173,2.687877436,-4.220816518,-1.915557151,1.838030502,0.659535712,0.193476694,-1.219137533,good
174,-0.640555278,0.399305799,0.449963686,1.66364063,1.477343891,-0.270789883,1.021798877,bad
175,-3.357879901,-0.40058288,0.694949702,0.445514942,3.151831289,0.675475162,2.650961932,bad
176,1.988089472,-1.045738509,-3.201109193,2.49343274,-5.647512538,0.204974554,0.523310477,bad
177,0.222233593,-1.8483876,-3.7765588,-0.177907838,3.329203086,1.71531921,2.67598861,bad
178,-1.027347353,-2.343849157,-0.573102198,1.662927569,1.431025167,2.431659861,-1.430272117,bad
179,-3.65522619,0.5573377,-0.326562959,2.16042424,5.027975868,-1.980610936,-2.03105815,good
180,-3.023206613,0.462444204,0.017101868,-1.346225188,1.101464221,2.257115818,-0.662106626,bad
181,0.48573438,-4.694670684,-1.94594246,2.022091675,0.861829748,-0.643013894,-1.414626558,good
182,0.21657671,-4.102544698,-0.243894427,0.848539091,1.94234651,-1.23947499,2.691332311,good
183,1.35513811,-3.377497082,0.140623017,0.60883083,3.681520499,-1.573009714,3.617288034,good
184,-0.514957132,0.034977924,-0.459915958,1.291525221,0.454003509,1.536034767,-0.693438851,good
185,2.20545334,1.373721568,-2.017316763,0.51352586,2.93029506,-0.492496435,1.777255205,good
186,0.481356292,-0.140110818,-2.940686361,3.603661679,-3.465855278,2.215774651,-0.856561122,bad
187,-1.3681164,-0.163515102,-2.748561379,1.612122394,-1.697968636,2.543862516,1.274318228,bad
188,1.157294506,-1.903769621,-3.320153713,1.36921947,0.505785102,0.278074178,-2.033170149,good
189,1.01550103,-0.302487386,-0.046176882,-1.037176834,0.028679152,-0.713654382,-0.662878148,good
190,1.991509172,-1.886054744,-0.635264413,4.097846712,-4.423746796,-2.836671248,-0.431719785,bad
191,2.839617992,0.747720396,-1.026055396,-0.709875681,0.431186284,0.970474653,3.604999027,good
192,0.428496654,-3.625677215,2.677891465,-0.569121425,0.063402183,2.67543357,-1.499881687,good
193,-4.767311233,-0.245717716,-1.88996933,-0.116624071,2.042416985,1.975791616,-3.7252244,bad
194,-2.730350504,-1.33907779,-0.281202885,2.770062529,-2.889864817,1.775054035,2.724329759,bad
195,-2.939797228,-0.007553123,1.60710465,-0.68115037,0.455248519,1.16590246,-0.987979264,good
196,-2.618685883,1.933378029,-0.681005397,2.04693777,2.018627533,-1.169149912,-2.486120112,good
197,-2.447323595,-0.939739943,1.06138129,-0.236998028,-0.061152164,1.665930522,-0.836166022,good
198,-2.67798499,-3.759882841,0.044790481,-0.666776013,-0.334118035,3.063271255,-4.467442104,bad
199,-2.712530522,-2.789550376,-0.670397326,2.609653218,-0.397278801,4.669601978,-0.362249992,bad
200,0.586694575,-1.333885902,-0.292023479,1.13649496,-1.937563778,-0.40091978,-0.921238606,bad
201,2.032992506,-0.480179468,-4.772270772,0.756714012,2.085005235,3.068579749,-0.796702202,bad
202,-1.317609398,-1.80564189,2.862508115,-0.458129706,2.058752762,2.308895924,-0.287477036,bad
203,-3.160312633,-0.761810602,-1.128493326,-0.078224321,1.41305915,4.56119729,0.108746451,bad
204,-2.177589268,1.45974461,1.833740912,3.119198952,-1.906023301,-4.281311684,1.689841773,good
205,1.625461266,-1.534990098,-5.016761418,0.309943529,1.110963794,2.913673713,-0.746742282,bad
206,-0.30846855,0.425289983,1.523274947,2.792476835,-1.08653548,-1.530739672,0.270685503,bad
207,0.474937608,-1.843766141,-0.108722644,3.661634847,-1.013733601,-2.148029499,1.133950788,good
208,-1.60220322,-2.234048307,-1.445256726,1.421623644,-0.559610859,2.006623105,2.501694047,bad
209,-2.862726827,0.577681534,-0.252583607,0.764674018,1.777822979,-0.563261512,-3.670269251,good
210,-3.598500949,1.720803856,0.401611289,-1.442869363,-0.318516767,-0.102840121,-2.694676285,good
211,-2.073199792,0.370725342,0.777676698,2.707973045,2.997236992,-1.189757982,-0.803958746,good
212,-0.172770477,-3.14849599,-0.495672873,0.581483657,0.164349877,-1.184325217,-0.51325681,good
213,-3.695590975,-2.613387009,-1.579767688,-0.944409442,-1.343096188,4.545995917,-3.171785929,bad
214,1.131626749,0.920815316,-4.106681702,2.093650728,-1.951435579,0.943218738,-0.815660285,bad
215,2.683861892,-4.700917185,1.40041866,1.346969161,-1.304076421,4.611424426,0.692202456,good
216,1.710591444,-3.071098533,1.688526149,2.046596612,1.199406883,1.398974425,-2.910651105,good
217,0.617173994,-1.361685937,-2.621162853,-1.075201067,3.260811348,1.326728883,-0.805294862,bad
218,0.522224741,0.652557389,-3.069178119,2.955208455,-1.740692822,-0.725726315,-1.98381094,good
219,-3.381068968,-2.62175816,3.187340205,2.043881444,3.062442644,-0.363865852,0.570639948,good
220,-0.953475721,0.61583338,-3.584262169,1.189656118,-1.12943968,0.338341881,-1.453878333,bad
221,3.963715076,0.443684934,-1.329553245,-1.407775083,4.337533594,0.649486691,4.85770709,good
222,-1.329337218,0.545296919,-1.162826598,2.927927416,-1.837273546,-1.879258542,0.051273904,good
223,-2.667137449,-2.424014822,3.665266986,-0.208855461,1.162848742,1.022678472,0.091921632,good
224,-2.379439903,-3.464897573,4.115939841,-0.302866066,0.983021384,1.931703048,0.20355982,good
225,-2.130262978,0.174759642,-4.645906324,0.682926691,1.107156576,3.909198899,-1.075780377,bad
226,-1.837120181,-0.029495946,1.403076051,1.582249104,-1.206133615,-1.79449251,3.201419042,bad
227,0.05874291,-3.289808544,3.872647603,1.194497978,1.270256103,1.176354914,-0.839104478,good
228,1.10364773,-3.016143154,2.019128766,1.746410622,2.761662424,-3.302013877,2.874555906,good
229,-2.058947354,-2.838944651,-2.906506349,1.100660161,0.974405213,4.989401557,0.598162333,bad
230,-1.234563407,-1.119283521,-1.307462544,0.970481743,-0.35143782,2.788417932,0.032870604,bad
231,-3.023822478,-0.847654554,-3.926479139,0.630642487,-3.392707898,4.042267742,-0.760862459,bad
232,-0.300698281,-0.513603251,0.921006242,1.378172075,2.274746687,0.745336375,-2.93402889,good
233,1.791076823,0.230726241,-0.78268227,3.42861403,0.17808332,-1.697414803,1.658262189,good
234,-0.578710728,-3.790416262,1.879187112,1.498283259,0.138343106,2.861231457,0.791113178,good
235,-3.171425757,-0.640241317,-2.016209008,1.255756823,1.261503476,5.751709987,-2.177388359,bad
236,3.046144924,-4.690724476,1.912360951,3.455782612,-1.667052551,4.258164361,6.004566164,good
237,-1.146725316,-0.548734161,-0.298044781,1.167566885,-0.10334691,-0.167098766,0.892245948,bad
238,-3.300243836,3.15796135,-1.397065816,-0.461591464,2.198573081,-1.238871165,-3.580039861,good
239,1.196033372,-1.921522242,2.432934226,0.2927131,0.519451632,1.312729945,-1.483232895,good
240,-3.27631429,0.79249648,0.823381292,0.892559612,2.272862312,-1.107253673,-2.018944333,good
241,1.53732936,-2.57146226,-1.974852709,1.155408602,3.027438077,-0.77097034,1.449094973,good
242,0.080970577,0.31142236,2.10226489,1.284844839,1.434369092,-3.74036848,1.05090811,bad
243,-2.068321741,-1.7498196,-0.158640096,0.016842928,3.373624938,1.660209087,1.054633563,bad
244,0.536355193,1.633845896,-0.95554666,0.810189297,-0.36600837,-0.840467044,2.442705012,good
245,-1.520566155,-0.146925139,-6.894485494,2.216431349,0.129410702,2.291799644,-3.176894759,bad
246,0.135714199,-0.753756857,-2.196146456,1.039276088,0.580537553,0.227308777,2.086618541,bad
247,-0.736572868,2.541001183,-0.305827054,1.876692095,2.840588254,-3.8581528,1.271769835,good
248,3.002557156,-2.013221818,-4.684990067,-0.500138543,2.774750609,2.586885385,-3.056400752,bad
249,-0.241450871,0.929941054,-0.137075455,1.08522385,-0.716174118,-0.710974956,1.1627936,bad
250,-2.441313809,0.394177372,-1.313530173,0.706609827,3.522472877,2.946627666,0.17209792,bad
251,-1.281038736,-1.821401873,0.754640169,1.652782439,-2.685340276,0.161968913,-0.522776192,bad
252,-1.553346238,0.694739637,-0.161778986,3.545424868,-0.105111122,-4.029710309,-0.625875999,good
253,1.203124977,-1.887092813,-2.551971029,1.080266556,3.499233357,-0.427476892,2.928774852,good
254,-2.090430519,-2.261319641,3.822713915,-0.512140853,0.660595132,0.663423371,-1.714085315,good
255,-1.83843169,-1.186596296,-4.037844783,1.292917036,1.808180985,4.03251862,0.249018548,bad
256,1.407604717,-1.27403814,-3.740198128,0.637889095,1.148405803,1.561490156,-0.060036533,bad
257,2.920663662,0.844614718,-1.8284359,1.465325058,1.046771017,-1.798560426,0.254269072,bad
258,1.226203325,-1.020326396,-1.333379827,3.025561117,-2.504680702,-1.840986463,-0.801434151,bad
259,-0.958481993,-0.936945599,-0.525712345,1.419508279,2.018538987,0.530124636,-2.501304538,good
260,0.558270558,-4.287580027,3.234078506,1.713390894,1.851739704,0.900321083,-1.425231325,good
261,-2.462903545,-0.56298005,-2.128611939,2.105099597,-3.970096582,0.642830033,-0.268954307,bad
262,2.931423863,1.486790372,-2.56521112,2.313373725,-3.242974318,0.454095333,4.815610945,bad
263,-2.747330489,-1.093614998,-0.682519393,0.780432745,0.83226379,3.188638335,0.691372124,bad
264,1.348563992,-2.629308349,0.688814575,4.579679142,3.793939947,0.178613673,-0.414499767,good
265,1.084181135,2.448842938,-0.832397859,-0.261020423,-0.718777168,-0.574946573,-0.932228278,good
266,0.905833762,-0.751363706,-3.485991924,0.997933312,-1.824294131,4.787430275,-6.547608222,bad
267,-2.447816326,0.824679098,0.143270373,1.478978273,1.810475947,-0.340230463,0.671943146,good
268,-2.748699712,-2.852489657,-1.3900673,0.308634436,2.55681627,2.297282447,3.419852669,bad
269,-0.251730534,-0.242135936,-1.983283336,1.029913222,-1.778541454,0.022265501,0.088930463,good
270,-0.193807072,1.279221031,-0.580563466,-0.005449535,-1.276169703,-3.592016909,2.392763422,bad
271,-2.860698973,-3.35504959,-1.311302319,1.296602473,-1.822590247,2.372048339,-3.788166932,bad
272,0.156593347,-1.777604056,-3.74225768,0.666825013,1.465928947,3.441336039,0.266387675,bad
273,2.169891131,-0.685489379,-2.563572279,1.580902352,2.271345833,-0.378783696,2.422487722,bad
274,-2.963259236,-2.584702088,4.105910199,-0.056561616,2.675356273,0.998418149,-0.530663222,good
275,-0.013717782,-0.116183901,-0.866420466,0.558549006,0.380898411,2.564543574,-0.214724499,good
276,5.074031494,-3.732877061,-2.227816231,1.443563578,2.944313608,0.919064941,0.7241907,good
277,3.494801452,-2.643741519,0.419279989,3.645718399,-3.285315914,-2.297288152,-0.264526021,bad
